 filename, receiver, sender, num
./matrix/road_central.mtx, 2, 0, 457105
./matrix/road_central.mtx, 7, 0, 332022
./matrix/road_central.mtx, 3, 0, 457354
./matrix/road_central.mtx, 6, 0, 368118
./matrix/road_central.mtx, 0, 0, 241652
./matrix/road_central.mtx, 1, 0, 457012
./matrix/road_central.mtx, 5, 0, 456995
./matrix/road_central.mtx, 4, 0, 457040
./matrix/road_central.mtx, 2, 1, 0
./matrix/road_central.mtx, 7, 1, 290
./matrix/road_central.mtx, 3, 1, 1
./matrix/road_central.mtx, 6, 1, 0
./matrix/road_central.mtx, 0, 1, 94
./matrix/road_central.mtx, 1, 1, 0
./matrix/road_central.mtx, 5, 1, 0
./matrix/road_central.mtx, 4, 1, 0
./matrix/road_central.mtx, 2, 2, 0
./matrix/road_central.mtx, 3, 2, 0
./matrix/road_central.mtx, 7, 2, 451
./matrix/road_central.mtx, 6, 2, 1
./matrix/road_central.mtx, 0, 2, 0
./matrix/road_central.mtx, 5, 2, 0
./matrix/road_central.mtx, 1, 2, 0
./matrix/road_central.mtx, 4, 2, 0
./matrix/road_central.mtx, 2, 3, 0
./matrix/road_central.mtx, 7, 3, 469
./matrix/road_central.mtx, 3, 3, 0
./matrix/road_central.mtx, 6, 3, 0
./matrix/road_central.mtx, 0, 3, 0
./matrix/road_central.mtx, 1, 3, 0
./matrix/road_central.mtx, 5, 3, 0
./matrix/road_central.mtx, 4, 3, 0
./matrix/road_central.mtx, 2, 4, 0
./matrix/road_central.mtx, 3, 4, 0
./matrix/road_central.mtx, 7, 4, 230
./matrix/road_central.mtx, 6, 4, 0
./matrix/road_central.mtx, 0, 4, 0
./matrix/road_central.mtx, 5, 4, 0
./matrix/road_central.mtx, 1, 4, 0
./matrix/road_central.mtx, 4, 4, 0
./matrix/road_central.mtx, 2, 5, 0
./matrix/road_central.mtx, 7, 5, 303
./matrix/road_central.mtx, 3, 5, 0
./matrix/road_central.mtx, 6, 5, 0
./matrix/road_central.mtx, 0, 5, 0
./matrix/road_central.mtx, 1, 5, 0
./matrix/road_central.mtx, 5, 5, 0
./matrix/road_central.mtx, 4, 5, 0
./matrix/road_central.mtx, 2, 6, 0
./matrix/road_central.mtx, 7, 6, 550
./matrix/road_central.mtx, 3, 6, 0
./matrix/road_central.mtx, 6, 6, 0
./matrix/road_central.mtx, 0, 6, 0
./matrix/road_central.mtx, 1, 6, 0
./matrix/road_central.mtx, 5, 6, 0
./matrix/road_central.mtx, 2, 7, 0
./matrix/road_central.mtx, 4, 6, 0
./matrix/road_central.mtx, 3, 7, 0
./matrix/road_central.mtx, 7, 7, 0
./matrix/road_central.mtx, 6, 7, 0
./matrix/road_central.mtx, 0, 7, 0
./matrix/road_central.mtx, 1, 7, 0
