matrix, rownum, colnum, nnzR, rec_time, spmv_time, time, GFlops, process, thread
../matrix/rgg_n_2_21_s0.mtx, 2097152, 2097152, 28975990, 0.545000, 1.039000, 1.584000, 36.585846, 32, 4
../matrix/road_central.mtx, 14081816, 14081816, 33866826, 0.166000, 7.651000, 7.817000, 8.664916, 16, 4
../matrix/inline_1.mtx, 503712, 503712, 36816342, 0.027000, 4.032000, 4.059000, 18.140597, 8, 4
../matrix/inline_1.mtx, 503712, 503712, 36816342, 0.008000, 7.231000, 7.239000, 10.171665, 2, 4
../matrix/inline_1.mtx, 503712, 503712, 36816342, 0.003000, 13.041000, 13.044000, 5.644947, 2, 4
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 0.000000, 97.091000, 97.091000, 1.131725, 1, 4
../matrix/inline_1.mtx, 503712, 503712, 36816342, 0.353000, 2.182000, 2.535000, 29.046424, 16, 4
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 0.000000, 47.678000, 47.678000, 1.037726, 1, 4
../matrix/road_central.mtx, 14081816, 14081816, 33866826, 0.473000, 3.688000, 4.161000, 16.278215, 32, 4
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 0.000000, 18.220000, 18.220000, 1.539841, 1, 4
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 0.000000, 24.558000, 24.558000, 2.219125, 1, 4
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 0.018000, 20.021000, 20.039000, 5.483324, 8, 4
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 0.006000, 49.896000, 49.902000, 2.201922, 2, 4
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 0.006000, 51.963000, 51.969000, 2.114344, 2, 4
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 0.000000, 1.854000, 1.854000, 5.389428, 1, 4
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 0.012000, 10.737000, 10.749000, 4.602914, 8, 4
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 0.003000, 31.949000, 31.952000, 1.548470, 2, 4
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 0.003000, 34.113000, 34.116000, 1.450250, 2, 4
../matrix/inline_1.mtx, 503712, 503712, 36816342, 1.028000, 0.608000, 1.636000, 45.007753, 32, 4
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 0.243000, 7.498000, 7.741000, 14.194590, 16, 4
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 0.012000, 6.179000, 6.191000, 4.531725, 8, 4
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 0.003000, 12.806000, 12.809000, 2.190328, 2, 4
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 0.003000, 12.805000, 12.808000, 2.190499, 2, 4
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 0.017000, 6.913000, 6.930000, 7.863965, 8, 4
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 0.006000, 15.631000, 15.637000, 3.485149, 2, 4
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 0.006000, 15.512000, 15.518000, 3.511875, 2, 4
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 0.000000, 10.789000, 10.789000, 6.444936, 1, 4
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 0.194000, 4.859000, 5.053000, 9.791554, 16, 4
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 0.005000, 1.312000, 1.317000, 7.586940, 2, 4
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 0.013000, 0.383000, 0.396000, 25.232323, 8, 4
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 0.006000, 1.428000, 1.434000, 6.967922, 2, 4
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 0.000000, 48.082000, 48.082000, 0.945724, 1, 4
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 0.158000, 2.375000, 2.533000, 11.076159, 16, 4
../matrix/M6.mtx, 3501776, 3501776, 21003872, 0.000000, 46.316000, 46.316000, 0.906981, 1, 4
../matrix/hugebubbles-00000.mtx, 18318143, 18318143, 54940162, 0.656000, 3.836000, 4.492000, 24.461337, 32, 4
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 0.254000, 2.918000, 3.172000, 17.180731, 16, 4
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 0.000000, 54.234000, 54.234000, 0.921044, 1, 4
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 0.200000, 1.832000, 2.032000, 4.917323, 16, 4
../matrix/cant.mtx, 62451, 62451, 4007383, 0.000000, 0.659000, 0.659000, 12.162012, 1, 4
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 0.031000, 7.556000, 7.587000, 9.164942, 2, 4
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 0.031000, 7.353000, 7.384000, 9.416903, 2, 4
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 0.095000, 6.516000, 6.611000, 10.517987, 8, 4
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 0.005000, 25.346000, 25.351000, 1.793708, 2, 4
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 0.004000, 26.480000, 26.484000, 1.716973, 2, 4
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 0.015000, 4.711000, 4.726000, 9.621732, 8, 4
../matrix/germany_osm.mtx, 11548845, 11548845, 24738362, 0.386000, 2.167000, 2.553000, 19.379837, 32, 4
../matrix/M6.mtx, 3501776, 3501776, 21003872, 0.019000, 4.541000, 4.560000, 9.212225, 8, 4
../matrix/M6.mtx, 3501776, 3501776, 21003872, 0.006000, 21.714000, 21.720000, 1.934058, 2, 4
../matrix/M6.mtx, 3501776, 3501776, 21003872, 0.002000, 22.777000, 22.779000, 1.844143, 2, 4
../matrix/italy_osm.mtx, 6686493, 6686493, 14027956, 0.339000, 1.167000, 1.506000, 18.629424, 32, 4
../matrix/vas_stokes_1M.mtx, 1090664, 1090664, 34767207, 1.293000, 2.606000, 3.899000, 17.833910, 16, 4
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 0.019000, 6.167000, 6.186000, 8.074993, 8, 4
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 0.006000, 26.163000, 26.169000, 1.908820, 2, 4
../matrix/NLR.mtx, 4163763, 4163763, 24975952, 0.007000, 24.907000, 24.914000, 2.004973, 2, 4
../matrix/cant.mtx, 62451, 62451, 4007383, 0.013000, 0.207000, 0.220000, 36.430755, 8, 4
../matrix/cant.mtx, 62451, 62451, 4007383, 0.003000, 0.956000, 0.959000, 8.357420, 2, 4
../matrix/cant.mtx, 62451, 62451, 4007383, 0.001000, 0.380000, 0.381000, 21.036131, 2, 4
../matrix/AS365.mtx, 3799275, 3799275, 22736152, 0.329000, 2.173000, 2.502000, 18.174382, 16, 4
../matrix/adaptive.mtx, 6815744, 6815744, 27248640, 0.573000, 1.196000, 1.769000, 30.806829, 32, 4
../matrix/ecology1.mtx, 1000000, 1000000, 4996000, 0.415000, 0.296000, 0.711000, 14.053446, 32, 4
../matrix/M6.mtx, 3501776, 3501776, 21003872, 0.249000, 2.010000, 2.259000, 18.595726, 16, 4
